loggingTime(txt),loggingSample(N),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationCourse(Â°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),batteryState,batteryLevel,label
57:18.1,1,1571680638,33.99904894,-81.03091123,91.31862,0.8910047,243.7275004,6.997970488,76.57895304,-9999,406392.9319,-0.052062988,-0.332855225,-0.930282593,1,0.53,5
57:18.2,2,1571680638,33.99904894,-81.03091123,91.31862,0.8910047,243.7275004,6.997970488,76.57895304,-9999,406392.9719,-0.065460205,-0.334259033,-0.925796509,1,0.53,5
57:18.2,3,1571680638,33.99902836,-81.03088757,91.3354,0.8702663,181.0735251,7.068337895,63.77301724,-9999,406393.0119,-0.079071045,-0.322631836,-0.930374146,1,0.53,5
57:18.2,4,1571680638,33.99902836,-81.03088757,91.3354,0.8702663,181.0735251,7.068337895,63.77301724,-9999,406393.0518,-0.074050903,-0.323226929,-0.948577881,1,0.53,5
57:18.3,5,1571680638,33.99902836,-81.03088757,91.3354,0.8702663,181.0735251,7.068337895,63.77301724,-9999,406393.0918,-0.061523438,-0.320098877,-0.9453125,1,0.53,5
57:18.3,6,1571680638,33.99902836,-81.03088757,91.3354,0.8702663,181.0735251,7.068337895,63.77301724,-9999,406393.1318,-0.066101074,-0.318359375,-0.949645996,1,0.53,5
57:18.4,7,1571680638,33.99902836,-81.03088757,91.3354,0.8702663,181.0735251,7.068337895,63.77301724,-9999,406393.1718,-0.046661377,-0.33013916,-0.92300415,1,0.53,5
57:18.4,8,1571680638,33.99902836,-81.03088757,91.3354,0.8702663,181.0735251,7.068337895,63.77301724,-9999,406393.2118,-0.06098938,-0.328552246,-0.919555664,1,0.53,5
57:18.4,9,1571680638,33.99902836,-81.03088757,91.3354,0.8702663,181.0735251,7.068337895,63.77301724,-9999,406393.2518,-0.049301147,-0.336364746,-0.910125732,1,0.53,5
57:18.5,10,1571680638,33.99902836,-81.03088757,91.3354,0.8702663,181.0735251,7.068337895,63.77301724,-9999,406393.2917,-0.026672363,-0.325042725,-0.908325195,1,0.53,5
57:18.5,11,1571680638,33.99902836,-81.03088757,91.3354,0.8702663,181.0735251,7.068337895,63.77301724,-9999,406393.3317,-0.029022217,-0.254852295,-0.897949219,1,0.53,5
57:18.6,12,1571680638,33.99902836,-81.03088757,91.3354,0.8702663,181.0735251,7.068337895,63.77301724,-9999,406393.3717,-0.107269287,-0.150222778,-0.915756226,1,0.53,5
57:18.6,13,1571680638,33.99902836,-81.03088757,91.3354,0.8702663,181.0735251,7.068337895,63.77301724,-9999,406393.4117,-0.161376953,-0.05166626,-0.884597778,1,0.53,5
57:18.6,14,1571680638,33.99902836,-81.03088757,91.3354,0.8702663,181.0735251,7.068337895,63.77301724,-9999,406393.4517,-0.168380737,0.167160034,-0.960189819,1,0.53,5
57:18.7,15,1571680638,33.99902836,-81.03088757,91.3354,0.8702663,181.0735251,7.068337895,63.77301724,-9999,406393.4917,-0.195861816,0.346740723,-0.946166992,1,0.53,5
57:18.7,16,1571680638,33.99902836,-81.03088757,91.3354,0.8702663,181.0735251,7.068337895,63.77301724,-9999,406393.5316,-0.240646362,0.555099487,-0.895126343,1,0.53,5
57:18.8,17,1571680638,33.99902836,-81.03088757,91.3354,0.8702663,181.0735251,7.068337895,63.77301724,-9999,406393.5716,-0.217727661,0.528518677,-0.826629639,1,0.53,5
57:18.8,18,1571680638,33.99902836,-81.03088757,91.3354,0.8702663,181.0735251,7.068337895,63.77301724,-9999,406393.6116,-0.250289917,0.626449585,-1.026580811,1,0.53,5
57:18.8,19,1571680638,33.99902836,-81.03088757,91.3354,0.8702663,181.0735251,7.068337895,63.77301724,-9999,406393.6516,-0.232208252,0.471435547,-0.974578857,1,0.53,5
57:18.9,20,1571680638,33.99902836,-81.03088757,91.3354,0.8702663,181.0735251,7.068337895,63.77301724,-9999,406393.6916,-0.288421631,0.326766968,-0.904678345,1,0.53,5
57:18.9,21,1571680638,33.99902836,-81.03088757,91.3354,0.8702663,181.0735251,7.068337895,63.77301724,-9999,406393.7316,-0.212051392,0.31690979,-0.902816772,1,0.53,5
57:19.0,22,1571680638,33.99902836,-81.03088757,91.3354,0.8702663,181.0735251,7.068337895,63.77301724,-9999,406393.7716,-0.154510498,0.332595825,-0.967712402,1,0.53,5
57:19.0,23,1571680638,33.99902836,-81.03088757,91.3354,0.8702663,181.0735251,7.068337895,63.77301724,-9999,406393.8115,-0.132751465,0.346466064,-0.950042725,1,0.53,5
57:19.0,24,1571680638,33.99902836,-81.03088757,91.3354,0.8702663,181.0735251,7.068337895,63.77301724,-9999,406393.8515,-0.147598267,0.370559692,-0.910949707,1,0.53,5
57:19.1,25,1571680638,33.99902836,-81.03088757,91.3354,0.8702663,181.0735251,7.068337895,63.77301724,-9999,406393.8915,-0.203826904,0.327133179,-0.910919189,1,0.53,5
57:19.1,26,1571680638,33.99902836,-81.03088757,91.3354,0.8702663,181.0735251,7.068337895,63.77301724,-9999,406393.9315,-0.166061401,0.383804321,-0.916183472,1,0.53,5
57:19.2,27,1571680639,33.99902836,-81.03088757,91.3354,0,181.0735251,7.11523049,55.48507517,-9999,406393.9715,-0.068618774,0.353530884,-0.90246582,1,0.53,5
57:19.2,28,1571680639,33.99902836,-81.03088757,91.3354,0,181.0735251,7.11523049,55.48507517,-9999,406394.0115,-0.067047119,0.350967407,-0.926269531,1,0.53,5
57:19.2,29,1571680639,33.99902836,-81.03088757,91.3354,0,181.0735251,7.11523049,55.48507517,-9999,406394.0514,-0.057235718,0.376571655,-0.917236328,1,0.53,5
57:19.3,30,1571680639,33.99902836,-81.03088757,91.3354,0,181.0735251,7.11523049,55.48507517,-9999,406394.0914,-0.123977661,0.387588501,-0.926544189,1,0.53,5
57:19.3,31,1571680639,33.99902836,-81.03088757,91.3354,0,181.0735251,7.11523049,55.48507517,-9999,406394.1314,-0.104537964,0.351959229,-0.944641113,1,0.53,5
57:19.4,32,1571680639,33.99902836,-81.03088757,91.3354,0,181.0735251,7.11523049,55.48507517,-9999,406394.1714,-0.094482422,0.375473022,-0.910140991,1,0.53,5
57:19.4,33,1571680639,33.99902836,-81.03088757,91.3354,0,181.0735251,7.11523049,55.48507517,-9999,406394.2114,-0.078094482,0.369659424,-0.928985596,1,0.53,5
57:19.4,34,1571680639,33.99902836,-81.03088757,91.3354,0,181.0735251,7.11523049,55.48507517,-9999,406394.2514,-0.073196411,0.416992188,-0.917709351,1,0.53,5
57:19.5,35,1571680639,33.99902836,-81.03088757,91.3354,0,181.0735251,7.11523049,55.48507517,-9999,406394.2913,-0.053161621,0.377609253,-0.91947937,1,0.53,5
57:19.5,36,1571680639,33.99902836,-81.03088757,91.3354,0,181.0735251,7.11523049,55.48507517,-9999,406394.3313,-0.062774658,0.337417603,-0.923416138,1,0.53,5
57:19.6,37,1571680639,33.99902836,-81.03088757,91.3354,0,181.0735251,7.11523049,55.48507517,-9999,406394.3713,-0.033813477,0.372894287,-0.914611816,1,0.53,5
57:19.6,38,1571680639,33.99902836,-81.03088757,91.3354,0,181.0735251,7.11523049,55.48507517,-9999,406394.4113,-0.054473877,0.319229126,-0.924285889,1,0.53,5
57:19.6,39,1571680639,33.99902836,-81.03088757,91.3354,0,181.0735251,7.11523049,55.48507517,-9999,406394.4513,-0.055038452,0.342041016,-0.90826416,1,0.53,5
57:19.7,40,1571680639,33.99902836,-81.03088757,91.3354,0,181.0735251,7.11523049,55.48507517,-9999,406394.4913,-0.044494629,0.355178833,-0.929885864,1,0.53,5
57:19.7,41,1571680639,33.99902836,-81.03088757,91.3354,0,181.0735251,7.11523049,55.48507517,-9999,406394.5312,-0.001052856,0.367858887,-0.924667358,1,0.53,5
57:19.8,42,1571680639,33.99902836,-81.03088757,91.3354,0,181.0735251,7.11523049,55.48507517,-9999,406394.5712,-0.039733887,0.30480957,-0.944839478,1,0.53,5
57:19.8,43,1571680639,33.99902836,-81.03088757,91.3354,0,181.0735251,7.11523049,55.48507517,-9999,406394.6112,-0.056671143,0.329986572,-0.941162109,1,0.53,5
57:19.8,44,1571680639,33.99902836,-81.03088757,91.3354,0,181.0735251,7.11523049,55.48507517,-9999,406394.6512,-0.066574097,0.38319397,-0.938156128,1,0.53,5
57:19.9,45,1571680639,33.99902836,-81.03088757,91.3354,0,181.0735251,7.11523049,55.48507517,-9999,406394.6912,-0.089416504,0.317703247,-0.943466187,1,0.53,5
57:19.9,46,1571680639,33.99902836,-81.03088757,91.3354,0,181.0735251,7.11523049,55.48507517,-9999,406394.7312,-0.09487915,0.297103882,-0.932006836,1,0.53,5
57:20.0,47,1571680639,33.99902836,-81.03088757,91.3354,0,181.0735251,7.11523049,55.48507517,-9999,406394.7711,-0.083007813,0.279388428,-0.93447876,1,0.53,5
57:20.0,48,1571680639,33.99902836,-81.03088757,91.3354,0,181.0735251,7.11523049,55.48507517,-9999,406394.8111,-0.066268921,0.316848755,-0.909545898,1,0.53,5
57:20.0,49,1571680639,33.99902836,-81.03088757,91.3354,0,181.0735251,7.11523049,55.48507517,-9999,406394.8511,-0.082366943,0.337936401,-0.925765991,1,0.53,5
57:20.1,50,1571680639,33.99902836,-81.03088757,91.3354,0,181.0735251,7.11523049,55.48507517,-9999,406394.8911,-0.109619141,0.40461731,-0.941650391,1,0.53,5
57:20.1,51,1571680639,33.99902836,-81.03088757,91.3354,0,181.0735251,7.11523049,55.48507517,-9999,406394.9311,-0.102966309,0.344970703,-0.926803589,1,0.53,5
57:20.2,52,1571680639,33.99902836,-81.03088757,91.3354,0,181.0735251,7.11523049,55.48507517,-9999,406394.9711,-0.100326538,0.273117065,-0.94190979,1,0.53,5
57:20.2,53,1571680639,33.99902836,-81.03088757,91.3354,0,181.0735251,7.11523049,55.48507517,-9999,406395.011,-0.115783691,0.310974121,-0.949234009,1,0.53,5
57:20.2,54,1571680639,33.99902836,-81.03088757,91.3354,0,181.0735251,7.11523049,55.48507517,-9999,406395.051,-0.131210327,0.388839722,-0.922546387,1,0.53,5
57:20.3,55,1571680640,33.99881051,-81.03098169,91.3259,0,181.0735251,7.199542081,77.11499792,-9999,406395.091,-0.118942261,0.364059448,-0.920150757,1,0.53,5
57:20.3,56,1571680640,33.99881051,-81.03098169,91.3259,0,181.0735251,7.199542081,77.11499792,-9999,406395.131,-0.108612061,0.32383728,-0.928894043,1,0.53,5
57:20.4,57,1571680640,33.99881051,-81.03098169,91.3259,0,181.0735251,7.199542081,77.11499792,-9999,406395.171,-0.112747192,0.331436157,-0.937438965,1,0.53,5
57:20.4,58,1571680640,33.99881051,-81.03098169,91.3259,0,181.0735251,7.199542081,77.11499792,-9999,406395.211,-0.129180908,0.358978271,-0.928955078,1,0.53,5
57:20.4,59,1571680640,33.99881051,-81.03098169,91.3259,0,181.0735251,7.199542081,77.11499792,-9999,406395.251,-0.14541626,0.421676636,-0.917953491,1,0.53,5
57:20.5,60,1571680640,33.99881051,-81.03098169,91.3259,0,181.0735251,7.199542081,77.11499792,-9999,406395.2909,-0.113113403,0.364944458,-0.915237427,1,0.53,5
57:20.5,61,1571680640,33.99881051,-81.03098169,91.3259,0,181.0735251,7.199542081,77.11499792,-9999,406395.3309,-0.088195801,0.339782715,-0.93119812,1,0.53,5
57:20.6,62,1571680640,33.99881051,-81.03098169,91.3259,0,181.0735251,7.199542081,77.11499792,-9999,406395.3709,-0.074996948,0.280197144,-0.933334351,1,0.53,5
57:20.6,63,1571680640,33.99881051,-81.03098169,91.3259,0,181.0735251,7.199542081,77.11499792,-9999,406395.4109,-0.059646606,0.353591919,-0.917922974,1,0.53,5
57:20.6,64,1571680640,33.99881051,-81.03098169,91.3259,0,181.0735251,7.199542081,77.11499792,-9999,406395.4509,-0.122406006,0.377471924,-0.924545288,1,0.53,5
57:20.7,65,1571680640,33.99881051,-81.03098169,91.3259,0,181.0735251,7.199542081,77.11499792,-9999,406395.4909,-0.189025879,0.401428223,-0.93119812,1,0.53,5
57:20.7,66,1571680640,33.99881051,-81.03098169,91.3259,0,181.0735251,7.199542081,77.11499792,-9999,406395.5308,-0.176132202,0.475296021,-0.891662598,1,0.53,5
57:20.8,67,1571680640,33.99881051,-81.03098169,91.3259,0,181.0735251,7.199542081,77.11499792,-9999,406395.5708,-0.134399414,0.399917603,-0.911941528,1,0.53,5
57:20.8,68,1571680640,33.99881051,-81.03098169,91.3259,0,181.0735251,7.199542081,77.11499792,-9999,406395.6108,-0.124969482,0.377609253,-0.918441772,1,0.53,5
57:20.8,69,1571680640,33.99881051,-81.03098169,91.3259,0,181.0735251,7.199542081,77.11499792,-9999,406395.6508,-0.122787476,0.39604187,-0.921218872,1,0.53,5
57:20.9,70,1571680640,33.99881051,-81.03098169,91.3259,0,181.0735251,7.199542081,77.11499792,-9999,406395.6908,-0.11114502,0.426513672,-0.913894653,1,0.53,5
57:20.9,71,1571680640,33.99881051,-81.03098169,91.3259,0,181.0735251,7.199542081,77.11499792,-9999,406395.7308,-0.104644775,0.390670776,-0.943984985,1,0.53,5
57:21.0,72,1571680640,33.99881051,-81.03098169,91.3259,0,181.0735251,7.199542081,77.11499792,-9999,406395.7707,-0.117355347,0.414520264,-0.914733887,1,0.53,5
57:21.0,73,1571680640,33.99881051,-81.03098169,91.3259,0,181.0735251,7.199542081,77.11499792,-9999,406395.8107,-0.123703003,0.411972046,-0.912765503,1,0.53,5
57:21.0,74,1571680640,33.99881051,-81.03098169,91.3259,0,181.0735251,7.199542081,77.11499792,-9999,406395.8507,-0.127975464,0.392440796,-0.92616272,1,0.53,5
57:21.1,75,1571680640,33.99881051,-81.03098169,91.3259,0,181.0735251,7.199542081,77.11499792,-9999,406395.8907,-0.101409912,0.380157471,-0.920150757,1,0.53,5
57:21.1,76,1571680640,33.99881051,-81.03098169,91.3259,0,181.0735251,7.199542081,77.11499792,-9999,406395.9307,-0.101013184,0.429046631,-0.912887573,1,0.53,5
57:21.2,77,1571680640,33.99881051,-81.03098169,91.3259,0,181.0735251,7.199542081,77.11499792,-9999,406395.9707,-0.121963501,0.446868896,-0.91242981,1,0.53,5
57:21.2,78,1571680641,33.99871606,-81.03111147,91.36636,0,181.0735251,6.970063526,41.62619567,-9999,406396.0106,-0.11328125,0.39024353,-0.89112854,1,0.53,5
57:21.2,79,1571680641,33.99871606,-81.03111147,91.36636,0,181.0735251,6.970063526,41.62619567,-9999,406396.0506,-0.081832886,0.366317749,-0.908370972,1,0.53,5
